연도,학교명,전임교원수,SCI/SCOPUS논문수,1인당논문수,권역명,권역순위,전국순위
2016,한림대학교,799,347.3022,0.4347,강원권,1,19
2016,가톨릭관동대학교,432,81.6838,0.1891,강원권,2,50
2016,경동대학교,244,25.5078,0.1045,강원권,3,79
2016,상지대학교,277,19.6811,0.0711,강원권,4,90
2016,한라대학교,137,1.7501,0.0128,강원권,5,120
2016,성균관대학교,1426,1403.4707,0.9842,수도권,1,2
2016,연세대학교,1648,1446.7735,0.8779,수도권,2,3
2016,고려대학교,1446,1124.2932,0.7775,수도권,3,4
2016,한양대학교,1012,754.0292,0.7451,수도권,4,5
2016,경희대학교,1419,939.3001,0.6619,수도권,5,6
2016,가톨릭대학교,1154,740.3193,0.6415,수도권,6,7
2016,광운대학교,331,202.8317,0.6128,수도권,7,9
2016,중앙대학교,1041,632.9272000000001,0.608,수도권,8,10
2016,건국대학교,712,431.2463,0.6057,수도권,9,12
2016,아주대학교,688,399.4462,0.5806,수도권,10,13
2016,한양대학교(ERICA),386,220.3016,0.5707,수도권,11,14
2016,동국대학교,672,315.0242,0.4688,수도권,12,17
2016,인하대학교,839,384.2335,0.458,수도권,13,18
2016,이화여자대학교,1001,423.3826,0.423,수도권,14,20
2016,가천대학교,856,359.8899,0.4204,수도권,15,21
2016,숭실대학교,494,203.3479,0.4116,수도권,16,23
2016,한국항공대학교,152,59.7998,0.3934,수도권,17,24
2016,한국외국어대학교,687,247.6397,0.3605,수도권,18,25
2016,삼육대학교,203,68.3862,0.3369,수도권,19,26
2016,단국대학교,1161,348.5758,0.3002,수도권,20,31
2016,을지대학교,390,104.9819,0.2692,수도권,21,34
2016,경기대학교,500,131.8671,0.2637,수도권,22,35
2016,국민대학교,653,170.1409,0.2606,수도권,23,36
2016,명지대학교,581,150.4434,0.2589,수도권,24,37
2016,차의과학대학교,414,95.4325,0.2305,수도권,25,42
2016,홍익대학교,526,116.7334,0.2219,수도권,26,44
2016,숙명여자대학교,470,94.1615,0.2003,수도권,27,47
2016,서울여자대학교,242,48.0202,0.1984,수도권,28,48
2016,상명대학교,263,51.6189,0.1963,수도권,29,49
2016,덕성여자대학교,191,31.9761,0.1674,수도권,30,55
