연도,학교명,전임교원수,SCI/SCOPUS논문수,1인당논문수,전국순위
2016,포항공과대학교,270,372.6558,1.3802,1
2016,성균관대학교,1426,1403.4707,0.9842,2
2016,연세대학교,1648,1446.7735,0.8779,3
2016,고려대학교,1446,1124.2932,0.7775,4
2016,한양대학교,1012,754.0292,0.7451,5
2016,경희대학교,1419,939.3001,0.6619,6
2016,가톨릭대학교,1154,740.3193,0.6415,7
2016,영남대학교,943,596.8617,0.6329,8
2016,광운대학교,331,202.8317,0.6128,9
2016,중앙대학교,1041,632.9272000000001,0.608,10
2016,울산대학교,1102,668.7126,0.6068,11
2016,건국대학교,712,431.2463,0.6057,12
2016,아주대학교,688,399.4462,0.5806,13
2016,한양대학교(ERICA),386,220.3016,0.5707,14
2016,건국대학교(글로컬),484,240.7426,0.4974,15
2016,한서대학교,282,134.5682,0.4772,16
2016,동국대학교,672,315.0242,0.4688,17
2016,인하대학교,839,384.2335,0.458,18
2016,한림대학교,799,347.3022,0.4347,19
2016,이화여자대학교,1001,423.3826,0.423,20
2016,가천대학교,856,359.8899,0.4204,21
2016,한국기술교육대학교,182,75.794,0.4165,22
2016,숭실대학교,494,203.3479,0.4116,23
2016,한국항공대학교,152,59.7998,0.3934,24
2016,한국외국어대학교,687,247.6397,0.3605,25
2016,삼육대학교,203,68.3862,0.3369,26
2016,고려대학교(세종),280,92.4039,0.33,27
2016,남서울대학교,338,105.5549,0.3123,28
2016,조선대학교,820,255.894,0.3121,29
2016,인제대학교,1000,309.6491,0.3096,30
2016,단국대학교,1161,348.5758,0.3002,31
2016,순천향대학교,856,251.9818,0.2944,32
2016,한남대학교,434,122.2317,0.2816,33
2016,을지대학교,390,104.9819,0.2692,34
2016,경기대학교,500,131.8671,0.2637,35
2016,국민대학교,653,170.1409,0.2606,36
2016,명지대학교,581,150.4434,0.2589,37
2016,계명대학교,898,221.2718,0.2464,38
2016,남부대학교,124,29.8138,0.2404,39
2016,동아대학교,844,198.9924,0.2358,40
2016,선문대학교,344,80.6719,0.2345,41
2016,차의과학대학교,414,95.4325,0.2305,42
2016,세명대학교,280,63.1952,0.2257,43
2016,홍익대학교,526,116.7334,0.2219,44
2016,청주대학교,418,89.8903,0.215,45
2016,대구대학교,650,134.2926,0.2066,46
