연도,학교명,전임교원수,SCI/SCOPUS논문수,1인당논문수,충청권순위,전국순위
2016,건국대학교(글로컬),484,240.7426,0.4974,1,15
2016,한서대학교,282,134.5682,0.4772,2,16
2016,한국기술교육대학교,182,75.794,0.4165,3,22
2016,고려대학교(세종),280,92.4039,0.33,4,27
2016,남서울대학교,338,105.5549,0.3123,5,28
2016,단국대학교,1161,348.5758,0.3002,6,31
2016,순천향대학교,856,251.9818,0.2944,7,32
2016,한남대학교,434,122.2317,0.2816,8,33
2016,을지대학교,390,104.9819,0.2692,9,34
2016,선문대학교,344,80.6719,0.2345,10,41
2016,세명대학교,280,63.1952,0.2257,11,43
2016,홍익대학교,526,116.7334,0.2219,12,44
2016,청주대학교,418,89.8903,0.215,13,45
2016,상명대학교,263,51.6189,0.1963,14,49
2016,중원대학교,168,29.6649,0.1766,15,51
2016,서원대학교,236,41.0411,0.1739,16,52
2016,건양대학교,399,63.979299999999995,0.1603,17,59
2016,목원대학교,301,46.191,0.1535,18,60
2016,배재대학교,321,41.9839,0.1308,19,66
2016,호서대학교,478,60.7859,0.1272,20,68
2016,백석대학교,498,61.5845,0.1237,21,69
2016,나사렛대학교,169,20.0756,0.1188,22,70
2016,대전대학교,365,43.0714,0.118,23,71
2016,우송대학교,294,32.0299,0.1089,24,75
2016,중부대학교,298,28.5757,0.0959,25,81
2016,극동대학교,151,14.2463,0.0943,26,83
2016,유원대학교,137,7.3218,0.0534,27,98
2016,금강대학교,28,0.0,0.0,28,122
2017,건국대학교(글로컬),483,205.33350000000002,0.4251,1,18
2017,한국기술교육대학교,183,58.2918,0.3185,2,23
2017,고려대학교(세종),271,83.2881,0.3073,3,26
2017,한서대학교,266,76.48949999999999,0.2876,4,28
2017,선문대학교,340,95.3118,0.2803,5,29
2017,단국대학교,1106,309.62579999999997,0.28,6,30
2017,남서울대학교,349,96.1628,0.2755,7,31
2017,홍익대학교,747,190.97050000000002,0.2556,8,34
2017,순천향대학교,900,228.5747,0.254,9,35
2017,을지대학교,393,98.5779,0.2508,10,36
2017,중원대학교,158,39.1305,0.2477,11,38
2017,한남대학교,429,86.787,0.2023,12,47
2017,청주대학교,405,78.9232,0.1949,13,48
2017,세명대학교,286,54.5225,0.1906,14,49
2017,호서대학교,477,77.3614,0.1622,15,51
2017,건양대학교,396,56.723400000000005,0.1432,16,57
2017,상명대학교,475,65.25829999999999,0.1374,17,60
2017,서원대학교,251,32.2172,0.1284,18,64
2017,우송대학교,332,42.428799999999995,0.1278,19,65
2017,극동대학교,147,17.8985,0.1218,20,67
2017,중부대학교,292,35.2568,0.1207,21,68
2017,목원대학교,299,33.711800000000004,0.1127,22,71
2017,배재대학교,324,34.6495,0.1069,23,73
2017,대전대학교,361,33.9757,0.0941,24,78
2017,유원대학교,139,12.128,0.0873,25,79
2017,백석대학교,499,36.8491,0.0738,26,90
2017,나사렛대학교,193,8.8982,0.0461,27,104
2017,금강대학교,30,0.25,0.0083,28,119
2018,건국대학교(글로컬),469,169.1794,0.3607,1,20
2018,을지대학교,405,144.3286,0.3564,2,21
2018,단국대학교,1089,363.7736,0.334,3,24
2018,고려대학교(세종),262,86.4435,0.3299,4,26
2018,순천향대학교,922,268.7594,0.2915,5,30
2018,홍익대학교,752,206.6839,0.2748,6,32
2018,중원대학교,157,41.236,0.2626,7,34
2018,한국기술교육대학교,179,45.4582,0.254,8,37
2018,남서울대학교,357,89.305,0.2502,9,38
2018,한남대학교,423,97.052,0.2294,10,41
2018,한서대학교,273,61.5418,0.2254,11,42
2018,선문대학교,330,68.4866,0.2075,12,45
2018,청주대학교,396,72.7446,0.1837,13,48
2018,세명대학교,286,51.6297,0.1805,14,50
2018,건양대학교,405,72.39089999999999,0.1787,15,51
2018,상명대학교,477,82.3944,0.1727,16,54
2018,우송대학교,372,54.7621,0.1472,17,61
2018,극동대학교,148,16.2128,0.1095,18,68
2018,호서대학교,458,49.6834,0.1085,19,70
2018,서원대학교,242,25.5914,0.1057,20,72
2018,배재대학교,315,30.2224,0.0959,21,75
2018,중부대학교,291,26.5143,0.0911,22,81
2018,목원대학교,291,24.4665,0.0841,23,83
2018,대전대학교,357,29.6787,0.0831,24,84
2018,유원대학교,160,12.6326,0.079,25,91
2018,백석대학교,494,25.7215,0.0521,26,102
2018,금강대학교,28,1.0,0.0357,27,108
2018,나사렛대학교,186,5.4358,0.0292,28,109
2019,을지대학교,408,144.823,0.355,1,23
2019,건국대학교(글로컬),455,155.901,0.3426,2,24
2019,단국대학교,1012,333.50239999999997,0.3295,3,26
2019,고려대학교(세종),263,81.4287,0.3096,4,28
2019,순천향대학교,930,261.8163,0.2815,5,32
2019,중원대학교,147,39.8447,0.2711,6,33
2019,한국기술교육대학교,188,50.0962,0.2665,7,34
2019,남서울대학교,353,87.9372,0.2491,8,36
2019,청주대학교,388,95.7726,0.2468,9,38
2019,선문대학교,321,73.9927,0.2305,10,42
2019,홍익대학교,766,174.5394,0.2279,11,44
2019,한서대학교,268,58.172,0.2171,12,45
2019,세명대학교,279,60.3848,0.2164,13,46
2019,상명대학교,472,98.67229999999999,0.2091,14,47
2019,한남대학교,412,84.2676,0.2045,15,48
2019,서원대학교,235,41.093,0.1749,16,56
2019,극동대학교,146,24.267,0.1662,17,57
2019,중부대학교,286,43.2273,0.1511,18,61
2019,호서대학교,456,68.0662,0.1493,19,63
2019,건양대학교,399,57.736599999999996,0.1447,20,65
2019,우송대학교,344,49.6876,0.1444,21,66
2019,목원대학교,282,32.0942,0.1138,22,73
2019,대전대학교,349,39.0663,0.1119,23,75
2019,배재대학교,306,32.3814,0.1058,24,78
2019,백석대학교,493,41.5703,0.0843,25,89
2019,유원대학교,152,10.4357,0.0687,26,93
2019,나사렛대학교,174,8.5937,0.0494,27,108
2019,금강대학교,21,0.0,0.0,28,123
2020,건국대학교(글로컬),462,179.3782,0.3883,1,21
2020,을지대학교,400,152.12630000000001,0.3803,2,22
2020,고려대학교(세종),260,96.5319,0.3713,3,23
2020,한국기술교육대학교,188,68.0083,0.3617,4,27
2020,순천향대학교,929,307.1265,0.3306,5,29
2020,상명대학교,471,154.7848,0.3286,6,31
2020,단국대학교,1063,341.152,0.3209,7,32
2020,우송대학교,339,100.9275,0.2977,8,34
2020,홍익대학교,779,216.72979999999998,0.2782,9,37
2020,세명대학교,271,68.0955,0.2513,10,39
2020,남서울대학교,332,82.7777,0.2493,11,40
2020,중원대학교,140,29.8362,0.2131,12,43
2020,한서대학교,269,54.0814,0.201,13,47
2020,선문대학교,316,62.786,0.1987,14,48
2020,청주대학교,383,69.7565,0.1821,15,52
2020,건양대학교,385,62.6648,0.1628,16,58
2020,한남대학교,423,68.2079,0.1612,17,60
2020,대전대학교,346,46.4725,0.1343,18,64
2020,호서대학교,495,66.3669,0.1341,19,65
2020,중부대학교,300,39.5805,0.1319,20,67
2020,극동대학교,145,16.6787,0.115,21,72
2020,서원대학교,229,21.6195,0.0944,22,81
2020,배재대학교,306,26.0215,0.085,23,87
2020,목원대학교,300,24.3171,0.0811,24,92
2020,백석대학교,491,35.4453,0.0722,25,97
2020,나사렛대학교,165,7.7343,0.0469,26,107
2020,유원대학교,135,5.1917,0.0385,27,109
2020,금강대학교,14,0.0,0.0,28,122
2021,건국대학교(글로컬),462,175.7938,0.3805,1,23
2021,순천향대학교,929,351.8049,0.3787,2,24
2021,을지대학교,456,170.5716,0.3741,3,25
2021,단국대학교,1085,381.6344,0.3517,4,27
2021,한국기술교육대학교,195,67.5652,0.3465,5,29
2021,고려대학교(세종),261,88.9334,0.3407,6,30
2021,상명대학교,500,147.73160000000001,0.2955,7,34
2021,홍익대학교,775,228.0289,0.2942,8,35
2021,우송대학교,366,101.6374,0.2777,9,37
2021,중원대학교,147,35.7025,0.2429,10,40
2021,건양대학교,376,85.33439999999999,0.227,11,42
2021,세명대학교,299,64.5758,0.216,12,45
2021,선문대학교,339,71.7344,0.2116,13,48
2021,대전대학교,336,66.4292,0.1977,14,52
2021,남서울대학교,332,62.8511,0.1893,15,54
2021,한남대학교,452,82.4751,0.1825,16,55
2021,한서대학교,273,44.012,0.1612,17,59
2021,청주대학교,403,62.9177,0.1561,18,61
2021,호서대학교,544,50.502,0.0928,19,79
2021,배재대학교,310,26.4932,0.0855,20,85
2021,서원대학교,244,18.3666,0.0753,21,88
2021,가톨릭꽃동네대학교,24,1.75,0.0729,22,89
2021,중부대학교,318,22.7783,0.0716,23,90
2021,극동대학교,144,10.1243,0.0703,24,91
2021,목원대학교,297,20.2632,0.0682,25,94
2021,백석대학교,492,31.5502,0.0641,26,95
2021,나사렛대학교,187,8.3045,0.0444,27,106
2021,유원대학교,125,2.7525,0.022,28,113
2021,금강대학교,18,0.0,0.0,29,122
2022,순천향대학교,930,375.912,0.4042,1,24
2022,단국대학교,1018,393.03549999999996,0.3861,2,25
2022,건국대학교(글로컬),443,167.2058,0.3774,3,27
2022,한국기술교육대학교,192,71.6473,0.3732,4,29
2022,고려대학교(세종),258,95.0209,0.3683,5,30
2022,우송대학교,305,111.9194,0.3669,6,31
2022,을지대학교,462,153.1608,0.3315,7,33
2022,홍익대학교,750,233.1851,0.3109,8,35
2022,건양대학교,374,115.45679999999999,0.3087,9,36
2022,상명대학교,483,139.3305,0.2885,10,38
2022,한서대학교,264,61.0978,0.2314,11,47
2022,선문대학교,315,70.9893,0.2254,12,49
2022,세명대학교,287,58.0119,0.2021,13,52
2022,중원대학교,144,28.9168,0.2008,14,54
2022,청주대학교,367,60.039,0.1636,15,60
2022,중부대학교,297,47.5073,0.16,16,61
2022,대전대학교,322,51.4805,0.1599,17,62
2022,한남대학교,420,64.6703,0.154,18,64
2022,남서울대학교,327,48.2503,0.1476,19,66
2022,배재대학교,291,36.05,0.1239,20,74
2022,호서대학교,510,56.5845,0.1109,21,80
2022,극동대학교,139,12.9356,0.0931,22,90
2022,가톨릭꽃동네대학교,23,1.9833,0.0862,23,93
2022,서원대학교,234,18.6522,0.0797,24,95
2022,목원대학교,290,11.5761,0.0399,25,109
2022,나사렛대학교,176,6.7808,0.0385,26,110
2022,유원대학교,127,3.8611,0.0304,27,115
2022,백석대학교,488,13.6829,0.028,28,117
2022,금강대학교,15,0.25,0.0167,29,123
2023,한국기술교육대학교,188,88.7992,0.4723,1,22
2023,순천향대학교,945,395.8607,0.4189,2,23
2023,고려대학교(세종),259,100.9448,0.3897,3,24
2023,단국대학교,1020,356.7428,0.3497,4,27
2023,상명대학교,481,163.5442,0.34,5,29
2023,건국대학교(글로컬),419,139.8549,0.3338,6,31
2023,홍익대학교,721,225.0168,0.3121,7,34
2023,을지대학교,458,138.51309999999998,0.3024,8,36
2023,건양대학교,366,101.3997,0.277,9,38
2023,우송대학교,330,79.0407,0.2395,10,43
2023,선문대학교,294,64.1521,0.2182,11,46
2023,청주대학교,368,60.9875,0.1657,12,55
2023,중부대학교,272,44.4252,0.1633,13,56
2023,대전대학교,315,47.8734,0.152,14,62
2023,세명대학교,262,37.7485,0.1441,15,65
2023,남서울대학교,317,43.7963,0.1382,16,68
2023,한남대학교,406,56.0883,0.1381,17,69
2023,한서대학교,260,35.4512,0.1364,18,71
2023,극동대학교,133,13.5604,0.102,19,83
2023,서원대학교,231,20.7408,0.0898,20,90
2023,중원대학교,141,11.889,0.0843,21,93
2023,배재대학교,279,23.315,0.0836,22,94
2023,호서대학교,474,39.5487,0.0834,23,95
2023,목원대학교,276,17.3353,0.0628,24,102
2023,가톨릭꽃동네대학교,23,1.0679,0.0464,25,107
2023,나사렛대학교,173,5.9797,0.0346,26,113
2023,백석대학교,477,13.0143,0.0273,27,114
2023,유원대학교,116,1.3429,0.0116,28,120
2023,금강대학교,15,0.0,0.0,29,125
2024,순천향대학교,958,380.5486,0.3972,1,22
2024,단국대학교,1023,365.7242,0.3575,2,25
2024,을지대학교,433,154.2732,0.3563,3,26
2024,고려대학교(세종),260,91.8475,0.3533,4,27
2024,한국기술교육대학교,183,64.21,0.3509,5,28
2024,건국대학교(글로컬),408,124.9867,0.3063,6,32
2024,홍익대학교,693,208.4539,0.3008,7,34
2024,상명대학교,458,123.1811,0.269,8,37
2024,건양대학교,360,82.2872,0.2286,9,40
2024,우송대학교,300,63.6819,0.2123,10,43
2024,선문대학교,290,52.4166,0.1807,11,54
2024,한남대학교,388,59.7662,0.154,12,57
2024,한서대학교,247,36.5508,0.148,13,58
2024,세명대학교,251,35.0885,0.1398,14,59
2024,청주대학교,360,48.5495,0.1349,15,62
2024,중부대학교,253,33.3587,0.1319,16,66
2024,대전대학교,298,36.6294,0.1229,17,69
2024,호서대학교,457,50.664,0.1109,18,72
2024,중원대학교,129,14.12,0.1095,19,73
2024,극동대학교,118,12.369,0.1048,20,76
2024,남서울대학교,308,31.7406,0.1031,21,78
2024,가톨릭꽃동네대학교,24,2.3596,0.0983,22,82
2024,서원대학교,215,17.7347,0.0825,23,87
2024,목원대학교,269,18.2487,0.0678,24,96
2024,배재대학교,270,17.6883,0.0655,25,98
2024,나사렛대학교,166,3.8016,0.0229,26,115
2024,백석대학교,485,10.5088,0.0217,27,116
2024,유원대학교,116,0.1667,0.0014,28,125
2024,금강대학교,12,0.0,0.0,29,126
2025,한국기술교육대학교,184,83.1283,0.4518,1,19
2025,순천향대학교,942,379.401,0.4028,2,24
2025,고려대학교(세종),257,99.3509,0.3866,3,26
2025,단국대학교,1003,367.8727,0.3668,4,28
2025,홍익대학교,725,239.31189999999998,0.3301,5,31
2025,건국대학교(글로컬),407,123.643,0.3038,6,34
2025,상명대학교,432,130.7964,0.3028,7,35
2025,을지대학교,420,116.8944,0.2783,8,38
2025,우송대학교,334,69.6525,0.2085,9,44
2025,건양대학교,350,66.2783,0.1894,10,50
2025,선문대학교,280,47.4717,0.1695,11,55
2025,대전대학교,277,45.3546,0.1637,12,57
2025,한서대학교,229,37.0202,0.1617,13,58
2025,한남대학교,385,60.5538,0.1573,14,60
2025,중원대학교,123,19.3086,0.157,15,61
2025,세명대학교,231,34.6387,0.15,16,65
2025,청주대학교,441,60.8341,0.1379,17,70
2025,서원대학교,224,28.4065,0.1268,18,74
2025,호서대학교,432,51.0697,0.1182,19,77
2025,극동대학교,109,12.3106,0.1129,20,80
2025,남서울대학교,293,30.3521,0.1036,21,86
2025,목원대학교,264,23.851,0.0903,22,92
2025,중부대학교,350,29.0753,0.0831,23,94
2025,나사렛대학교,157,8.5737,0.0546,24,108
2025,배재대학교,254,13.1132,0.0516,25,109
2025,가톨릭꽃동네대학교,23,1.1,0.0478,26,111
2025,백석대학교,464,19.2437,0.0415,27,112
2025,유원대학교,111,1.75,0.0158,28,120
2025,금강대학교,13,0.0,0.0,29,128
